駅すぱあと旅費交通費精算Web,株式会社ヴァル研究所,IT/通信/インターネット系,東京都杉並区高円寺北2-3-17,"41,000,000円",菊池 宗史,101～200人,,1976年7月,['駅すぱあと 通勤費Web']
WAVE225旅費・経費精算／稟議,株式会社エヌ・ティ・ティ・データ・ウェーブ,IT/通信/インターネット系,東京都東京都渋谷区千駄ヶ谷1-14-5 千駄ヶ谷インテス,1億円,代表取締役社長 橋口 武人,301～500人,https://www.nttd-wave.com/,2002年8月,[]
らくらく旅費経費.net,株式会社無限,IT/通信/インターネット系,東京都新宿区西新宿2-7-1　小田急第一生命ビル14階,3000万円,清水 宏太,101～200人,,1991年9月,"['らくらく申請WF.net', 'らくらく定期.net']"
駅すぱあと 通勤費Web,株式会社ヴァル研究所,IT/通信/インターネット系,東京都杉並区高円寺北2-3-17,"41,000,000円",菊池 宗史,101～200人,,1976年7月,['駅すぱあと旅費交通費精算Web']
jinjer経費,株式会社ネオキャリア,サービス/外食/レジャー系,東京都新宿区西新宿１丁目２２−２ 新宿サンエービル2F,"355,702,890円",西澤　亮一,1000人以上,http://www.neo-career.co.jp/,2000年11月,"['jinjer勤怠', '労務管理システム「jinjer労務」', 'jinjer人事', 'jinjerワークバイタル', 'jinjer給与']"
ハイ！経費,株式会社バルテック,IT/通信/インターネット系,東京都新宿区西新宿6-22-1 新宿スクエアタワー3階,4億2542万5千円,吉江　 秀馨,301～500人,,1993年3月,"['MOTクラウド勤怠管理システム', 'レンタルオフィス販売管理システム', 'VALTEC WEB MEETING']"
Streamed,,,,,,,,,
ネクストICカード,株式会社ジオコード,IT/通信/インターネット系,東京都新宿区新宿4-1-6 JRミライナタワー10F,"7,250万円",原口　大輔,101～200人,,2005年2月,['ネクストSFA']
Traveler'sWAN,,,,,,,,,
J'sNAVI NEO,株式会社JTBビジネストラベルソリューションズ,コンサルティング・専門サービス,東京都江東区豊洲5-6-52 NBF豊洲キャナルフロント,4億9000万円,渋谷　正光,501～1000人,,2000年8月,[]
MAJOR FLOW Z KEIHI,パナソニック ネットソリューションズ株式会社,IT/通信/インターネット系,東京都東京都中央区築地5丁目3番3号　築地浜離宮ビル12F,7000万円,南部　和彦,51～100人,http://pnets.panasonic.co.jp/,2008年1月,['MAJOR FLOW Z FORM']
駅探BIZ,株式会社駅探,IT/通信/インターネット系,東京都千代田区麹町5-4 JPR麹町ビル,291百万円,金田 直之,51～100人,,2003年1月,[]
Business Navitime 交通費精算パッケージ,,,,,,,,,
ECOAS経費・旅費精算,,,,,,,,,
AXL経費,,,,,,,,,
経費精算ソリューション Systemaflow®,,,,,,,,,
iS-Trip,,,,,,,,,
ExchangeUSE 旅費・経費精算ワークフロー,,,,,,,,,
クラウドERP ツバイソ,,,,,,,,,
経費精算幕僚Ⅲ,,,,,,,,,
eKeihi,イージーソフト株式会社,IT/通信/インターネット系,神奈川県相模原市中央区鹿沼台1-9-15　プロミティふちのべ6Ｆ,1億円,山本　覇利努,11～30人,,2000年7月,[]
Spendia,ＴＩＳ株式会社,IT/通信/インターネット系,東京都新宿区西新宿８－１７－１,100億円,桑野　徹,1000人以上,,2008年4月,[]
STAFee,新日本コンピュータマネジメント株式会社,IT/通信/インターネット系,東京都新宿区市谷本村町1-1 住友市ヶ谷ビル14階,"9,980万円",神保　敦,301～500人,https://www.scm-net.co.jp/,1975年2月,['KotaMi']
BIZUTTO経費,アルプスシステムインテグレーション株式会社,IT/通信/インターネット系,東京都大田区雪谷大塚町１－７,2億50万円,永倉　仁哉,501～1000人,https://www.alsi.co.jp/,1990年4月,['ASBOT']
SmartGo Staple,エヌ・ティ・ティ・コミュニケーションズ株式会社,IT/通信/インターネット系,東京都千代田区大手町２－３－１　大手町プレイスウエストタワー,"2,309億円",丸岡 亨,1000人以上,,1999年7月,"['Box／Box over VPN', 'Biz安否確認／一斉通報', 'Bizストレージ ファイルシェア', 'WinActor', 'COTOHA Chat & FAQ', 'COTOHA Meeting Assist', 'Menlo Security', 'Menlo Security']"
BOARD,Board Japan株式会社,IT/通信/インターネット系,東京都千代田区丸の内1－6－5　丸の内北口ビルディング9階,,ジョバンニ・グロッシ,2～10人,,2012年1月,['Board']
DivaSystem FBX,株式会社ディーバ,IT/通信/インターネット系,東京都港区港南2丁目15-2 品川インターシティＢ棟13階,,森川 徹治,301～500人,,1997年5月,[]
CCH Tagetik,Tagetik Japan 株式会社（タゲティック ジャパン）,IT/通信/インターネット系,東京都千代田区大手町１－６－１大手町ビル1階,,箕輪 久美子,11～30人,https://www.tagetik.com/jp,2015年11月,[]
BizForecast,プライマル株式会社,IT/通信/インターネット系,東京都新宿区北新宿2-21-1 新宿フロントタワー29階,6000万円,近藤 誠（公認会計士）,51～100人,,2006年6月,[]
Workday Adaptive Planning,ＯｒａｎｇｅＯｎｅ株式会社,IT/通信/インターネット系,東京都千代田区富士見１－２－２７秀和九段富士見町ビル４Ｆ,1億3760万円,春日原森,31～50人,,2006年11月,"['Freshdesk Messaging', 'Freshservice', 'Freshdesk Support Desk', 'Freshsales Suite', 'monday.com', 'monday.com', 'monday.com', 'monday.com', 'monday.com', 'monday.com']"
Sactona,アウトルックコンサルティング株式会社,コンサルティング・専門サービス,東京都中央区日本橋２－５－１,1億円,代表取締役社長 村上 和也,51～100人,,2006年5月,[]
Manageboard,株式会社マネーフォワード,IT/通信/インターネット系,東京都港区芝浦3-1-21 msbTamachi田町ステーションタワーS 21F,,辻庸介,501～1000人,,2012年5月,['マネーフォワード クラウド会計Plus']
Lancers Assistant,ランサーズ株式会社,IT/通信/インターネット系,東京都渋谷区渋谷３丁目１０－１３　ＴＯＫＹＵ　ＲＥＩＴ渋谷Ｒビル　９Ｆ,"1,431百万円（資本準備金を含む）",秋好 陽介,101～200人,https://www.lancers.co.jp/,2008年4月,"['Lancers Assistant', 'Lancers Assistant', 'Lancers Assistant']"
Anaplan,Anaplanジャパン株式会社,IT/通信/インターネット系,東京都東京都渋谷区渋谷2-24-12 渋谷スクランブルスクエア39階,,,51～100人,https://www.anaplan.com/jp/,,[]
V-ONE クラウド,株式会社アール・アンド・エー・シー,IT/通信/インターネット系,東京都中央区東日本橋2-8-3 東日本橋グリーンビル3階,1億円,高山 知泰,51～100人,https://www.r-ac.co.jp/,2004年11月,['【BOXILEXPO】株式会社アール・アンド・エー・シー_V-ONEクラウド']
カンタン！残高管理表クラウド,ipartners株式会社,IT/通信/インターネット系,東京都千代田区東神田1-15-9,315万円,三浦崇生,1人,https://ipartners.page/,2021年1月,['カンタン！残高管理表クラウド']
AI Travel,株式会社AIトラベル,IT/通信/インターネット系,東京都港区三田２－１０－５　エルアルカサル三田８０５,"277,919,113",村田 佑介,11～30人,,2014年2月,[]
Racco,楽天株式会社,IT/通信/インターネット系,東京都世田谷区玉川1-14-1,"204,562百万円（2016年12月31日現在）",三木谷 浩史,1000人以上,,1997年2月,[]
BORDER,ボーダー株式会社,サービス/外食/レジャー系,東京都新宿区新宿1-3-8 YKB新宿御苑903,"42,972,500円",細谷 智規,11～30人,,2014年8月,[]
マイナビBTM,株式会社マイナビ,IT/通信/インターネット系,東京都千代田区一ツ橋一丁目１番１号,21億210万円,代表取締役社長　中川信行,1000人以上,,1973年8月,[]
Paid,株式会社ラクーンフィナンシャル,IT/通信/インターネット系,東京都中央区日本橋蛎殻町1-14-14,"490,000 千円",秋山 祐二,101～200人,,2010年10月,[]
GMOペイメントゲートウェイ,,,,,,,,,
BizPay,,,,,,,,,
マネーフォワード ケッサイ,マネーフォワードケッサイ株式会社,IT/通信/インターネット系,東京都東京都港区芝浦3-1-21 msb Tamachi 田町ステーションタワーS 21F,100百万円,冨山　直道,51～100人,https://www.mfkessai.co.jp/kessai,2017年3月,[]
NP掛け払い,株式会社ネットプロテクションズ,IT/通信/インターネット系,東京都千代田区麹町４丁目２番地６,1億円,柴田　紳,201～300人,,2000年1月,"['atone', 'NP後払い', '【BOXILEXPO】株式会社ネットプロテクションズ_NP掛け払い']"
